carrel,name,url
code4lib,Code4Lib Journal,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/journal-code4lib-other/index.htm
ariadne,Ariadne,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/journal-ariadne-other/index.htm
dlib,DLib Magazine,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/journal-dlib_magazine-other/index.htm
ital,ITAL,https://distantreader.org/stacks/carrels-patrons/ericleasemorgan/journal-informationTechnologyAndLibraries-doaj/index.htm
